taxon_id,scientific_name,common_name,iconic_taxon_name,species_guess,latitude,longitude,positional_accuracy,place_guess,observed_on,time_observed_at,time_zone,quality_grade,num_identification_agreements,num_identification_disagreements,captive_cultivated,coordinates_obscured,image_url,sound_url,description,tag_list
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.7604702761,-117.2230267525,31.0,"Mission Bay, San Diego, CA, USA",2018-01-01,2018-01-01 21:04:00 UTC,Pacific Time (US & Canada),research,4,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/12670797/medium.jpeg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,33.3876403535,-116.2222518773,5.0,"San Diego County, US-CA, US",2018-01-05,2018-01-05 15:46:11 UTC,Pacific Time (US & Canada),research,3,0,False,True,https://inaturalist-open-data.s3.amazonaws.com/photos/12769226/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,33.2121532744,-116.3507424409,500.0,"Anza-Borrego Desert State Park, Borrego Springs, CA, US",2018-01-06,2018-01-06 15:43:08 UTC,Pacific Time (US & Canada),research,4,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/12752983/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.760093689,-117.2230834961,,"Old Sea World Dr, San Diego, CA 92109, USA",2018-01-26,2018-01-26 18:18:31 UTC,Pacific Time (US & Canada),research,4,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/13142075/medium.jpeg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.760325,-117.2232133333,4.0,"S Shores Park, San Diego, CA, US",2018-02-09,2018-02-09 18:12:35 UTC,Pacific Time (US & Canada),research,4,0,False,False,https://static.inaturalist.org/photos/13408002/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.7573463646,-117.2290509941,340.0,"I-8 W, San Diego, CA, US",2018-02-09,2018-02-09 18:06:54 UTC,Pacific Time (US & Canada),research,4,0,False,False,https://static.inaturalist.org/photos/13410157/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.76039505,-117.2231750488,,"Old Sea World Dr, San Diego, CA 92109, USA",2018-02-15,2018-02-16 00:41:56 UTC,Pacific Time (US & Canada),research,5,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/13533384/medium.jpeg,,"One owl, standing outside it's burrow seeming to sun itself. The burrow was in a sandy hill ",
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.7607506,-117.2199285,195.0,"Old Sea World Dr, San Diego, CA 92109, USA",2018-02-19,2018-02-19 20:21:00 UTC,Hawaii,research,5,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/13631074/medium.jpeg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,33.0472944686,-116.9356173277,8.0,"San Diego County, CA, USA",2018-03-11,2018-03-11 18:54:00 UTC,Pacific Time (US & Canada),research,4,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/14075163/medium.jpeg,,,
206894,Athene cunicularia hypugaea,Western Burrowing Owl,Aves,Western Burrowing Owl,33.1387366667,-117.1944716667,,"San Marcos, CA, USA",2018-03-29,2018-03-29 14:18:00 UTC,Pacific Time (US & Canada),research,2,0,False,False,https://static.inaturalist.org/photos/15074855/medium.jpeg,,,
